Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60+","Female Other","Female Total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60+","Male Other","Male Total",Total
2001,Egypt,Sudan,EGY,SDN,302,331,283,1035,38,3669,5658,338,393,336,1571,32,7624,10294,15952
2001,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16918
2002,Egypt,Sudan,EGY,SDN,477,473,405,1702,42,0,3099,548,556,476,2910,40,0,4530,15033
2002,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17679
2003,Egypt,Sudan,EGY,SDN,765,746,640,2914,63,0,5128,916,868,744,6455,67,0,9050,16551
2003,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17654
2004,Egypt,Sudan,EGY,SDN,1259,1084,929,4384,80,0,7736,1500,1251,1071,11397,71,0,15290,23026
2004,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18248
2005,Egypt,Sudan,EGY,SDN,1368,1098,942,4563,90,0,8061,1622,1264,1083,11535,72,0,15576,23637
2005,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16533
2006,Egypt,Sudan,EGY,SDN,1176,1578,868,5085,126,0,8833,1285,1810,989,11664,97,0,15845,24678
2006,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28280
2007,Egypt,Sudan,EGY,SDN,1004,1587,886,4945,138,0,8560,1144,1804,946,11154,117,0,15165,23725
2007,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875
2008,Egypt,Sudan,EGY,SDN,952,1697,867,4882,140,0,8538,985,1917,954,10774,115,0,14745,23283
2008,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3448
2009,Egypt,Sudan,EGY,SDN,816,1573,928,4731,169,0,8217,856,1781,975,9843,130,0,13585,21802
2009,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028
2010,Egypt,Sudan,EGY,SDN,839,1612,1047,4933,189,0,8620,838,1857,1105,9946,145,0,13891,22511
2010,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377
2011,Egypt,Sudan,EGY,SDN,897,1847,1253,5554,224,0,9775,979,2096,1276,10443,181,0,14975,24750
2011,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910
2012,Egypt,Sudan,EGY,SDN,901,1836,1229,5195,217,0,9378,904,2021,2024,8285,176,0,13410,22788
2012,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507
2013,Egypt,Sudan,EGY,SDN,1135,2131,1429,6104,255,0,11054,1166,2292,1803,9876,224,0,15361,26415
2013,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546
2014,Egypt,Sudan,EGY,SDN,1309,1452,6312,2269,261,0,11603,1357,1569,9550,2411,237,0,15124,26727
2014,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712
2015,Egypt,Sudan,EGY,SDN,1527,2496,1495,6301,220,0,12039,1576,2619,1613,10566,199,0,16573,28612
2015,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885
2016,Egypt,Sudan,EGY,SDN,1829,2855,1759,7151,211,0,13805,1925,2913,1958,12288,239,0,19323,33128
2016,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122
2017,Egypt,Sudan,EGY,SDN,1992,3029,1912,7785,200,0,14918,2076,3156,2127,13184,276,0,20819,35737
2017,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285
2018,Egypt,Sudan,EGY,SDN,2265,3355,2280,9396,264,0,17560,2307,3572,2632,15333,367,0,24211,41771
2018,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294
2019,Egypt,Sudan,EGY,SDN,2559,3807,2810,11141,365,0,20682,2544,4069,3649,16256,563,0,27081,47763
2019,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280
2020,Egypt,Sudan,EGY,SDN,2243,3947,3045,11723,372,0,21330,2189,4214,3939,16992,585,0,27919,49249
2020,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288
2021,Egypt,Sudan,EGY,SDN,2475,4033,3311,12409,392,0,22620,2508,4354,4188,17699,634,0,29383,52003
2021,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629
2022,Egypt,Sudan,EGY,SDN,3189,4936,4008,14843,437,0,27413,3222,5175,4870,16895,662,0,30824,58237
2022,"United States of America",Sudan,USA,SDN,0,0,37,58,0,5,100,0,5,17,175,5,7,209,2550
2023,Egypt,Sudan,EGY,SDN,10793,17437,13667,60761,5019,0,107677,11183,17769,14315,52284,4605,0,100156,207833
2023,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3174
2024,Egypt,Sudan,EGY,SDN,26840,49446,43429,183381,23385,0,326481,27493,51224,44530,131737,21237,0,276221,602702
2024,"United States of America",Sudan,USA,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4230
2012,Egypt,"South Sudan",EGY,SSD,25,90,104,315,6,0,540,40,72,112,178,0,0,402,942
2012,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2013,Egypt,"South Sudan",EGY,SSD,109,192,160,567,22,0,1050,118,187,162,295,5,0,767,1817
2013,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2014,Egypt,"South Sudan",EGY,SSD,201,221,909,326,40,0,1697,198,233,540,332,9,0,1312,3009
2014,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2015,Egypt,"South Sudan",EGY,SSD,238,467,347,1187,41,0,2280,289,479,321,749,13,16,1867,4147
2015,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2016,Egypt,"South Sudan",EGY,SSD,329,620,448,1631,55,0,3083,379,635,405,1125,14,0,2558,5641
2016,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2017,Egypt,"South Sudan",EGY,SSD,614,943,741,2832,106,0,5236,670,976,653,2514,26,0,4839,10075
2017,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2018,Egypt,"South Sudan",EGY,SSD,858,1367,1002,4049,148,0,7424,933,1397,942,3882,44,0,7198,14622
2018,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2019,Egypt,"South Sudan",EGY,SSD,1092,1735,1333,5312,203,0,9675,1159,1775,1293,5054,57,0,9338,19013
2019,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2020,Egypt,"South Sudan",EGY,SSD,938,1810,1455,5646,199,0,10048,1015,1895,1368,5422,57,0,9757,19805
2020,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
2021,Egypt,"South Sudan",EGY,SSD,1021,1889,1484,5891,196,0,10481,1130,1940,1434,5667,61,0,10232,20713
2021,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
2022,Egypt,"South Sudan",EGY,SSD,1311,2091,1789,6983,205,0,12379,1374,2255,1721,6549,68,0,11967,24346
2022,"United States of America","South Sudan",USA,SSD,0,0,0,9,0,0,9,0,0,0,15,0,0,15,143
2023,Egypt,"South Sudan",EGY,SSD,2262,3151,2576,11088,328,0,19405,2379,3384,2414,10221,112,0,18510,37915
2023,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
2024,Egypt,"South Sudan",EGY,SSD,2745,4062,3407,13671,437,0,24322,2909,4286,3191,11302,153,0,21841,46163
2024,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
